d_MEDIDAS_PROTECCION_DESCRIPCION.keyword: Descending;d_ANIO_PS.keyword: Descending;Count
B, C, M, O;2020;1
B, C, M, E, N, D, G;2022;1
B, C, M, E, N, J, A, D, G;2021;1
B, C, M, E, J, O, A, D, G;2021;1
B, C, M, E, J, O, A, D;2022;1
B, C, M, J, O, A, D, G;2021;1
B, C, N, A;2022;1
B, C, N, O, D, G;2020;1
B, C, N, E, O, A, D;2023;1
B, C, N, E, O, D;2022;1
B, C, N, J;2023;1
B, C, O, A;2022;1
B, C, O, D, G;2021;1
B, C, E, K, D;2021;1
B, C, E, N, J, A, D;2020;1
B, C, E, O, D, G;2023;1
B, C, E, D, L;2020;1
B, C, E, J, K, D;2023;1
B, C, E, J, D, L;2022;1
B, D, G;2020;1
B, E, J, A, D;2020;1
B, J, A;2022;1
B, J, O, D;2021;1
C, A;2022;1
C, M, A, D;2021;1
C, M, N, E, D;2020;1
C, M, N, J, D;2022;1
C, M, E, A, D;2021;1
C, M, E, N, O, D;2022;1
C, M, E, J, O, D;2022;1
C, M, E, J, D, G;2020;1
C, M, J, A, D, G;2022;1
C, M, J, O, A, D, G;2022;1
C, M, J, D, G;2020;1
C, N, A, D;2022;1
C, N, D, L;2023;1
C, N, E, O, D;2022;1
C, J, A, D, G;2020;1
C, J, O, A, D;2020;1
E, A, D;2021;1
E, J;2020;1
F, M, E;2020;1
F, B, C, K, D;2022;1
F, B, C, M, A, D;2020;1
F, B, C, M, N, D;2020;1
F, B, C, M, N, E, J, D, G;2021;1
F, B, C, M, E, A, D, G;2020;1
F, B, C, M, E, N, J, D, G;2021;1
F, B, C, M, E, J, O, A, D, L;2020;1
F, B, C, M, E, J, O, A, D;2022;1
F, B, C, M, E, J, D, G;2021;1
F, B, C, M, J, A, D, G;2021;1
F, B, C, N, E, J, O, D;2021;1
F, B, C, N, E, J, D;2020;1
F, B, C, N, J, D;2020;1
F, B, C, O, A, D;2020;1
F, B, C, E, A, D, G;2022;1
F, B, C, E, N, D;2022;1
F, B, C, E, D, L;2020;1
F, B, C, E, D, G;2023;1
F, B, C, E, J, A, D, L, G;2022;1
F, B, C, E, J, O, D;2020;1
F, B, C, E;2020;1
F, B, C, J, O, A, D;2023;1
F, B, J, D, G;2021;1
F, C, A, D;2023;1
F, C, M, E, J, O, D, L, G;2020;1
F, C, N, O, D;2021;1
F, C, N, D;2023;1
F, C, O, D;2020;1
F, C, D, L;2020;1
F, C, E, N, J, O, D;2022;1
F, C;2021;1
F, J, D;2021;1
H, B, C, M, A, D;2022;1
H, B, C, M, E, A, D;2022;1
H, B, C, M, E, J, A, D, G;2020;1
H, B, C, N, J, A, D;2022;1
H, B, C, O, D;2023;1
H, B, C, D, G;2023;1
H, B, C, E, J, D;2021;1
H, B, C, J, O, A, D, G;2020;1
H, B, C, J, D;2022;1
H, C, E, D;2021;1
H, C, J, D;2021;1
H, F, B, C, J, A, D;2021;1
H, J, D;2022;1
J, O, D;2023;1
J, G;2021;1
